"location","partid","showup","version","sex","age","session","done","retest","chipped"
"Basel",64089701,1,"final","female",23,"apcv81ncqkblfjl7am7upclib0",1,0,1
"Basel",64090101,1,"final","female",28,"icj8l8b9vcv786k5pakakutdn1",1,0,1
"Basel",64090301,1,"final","male",34,"v4anss3ld1611lalgbhmnb2o53",1,0,1
"Basel",64090901,1,"final","male",24,"6633h7ltb05vthiabi615e6qb4",1,0,1
"Basel",64092901,1,"final","male",28,"ata143ehsco8s2e1qlt8gs67g0",1,0,0
"Basel",64093501,1,"final","female",24,"q2j2l80tegmf3qmkb7kvhag257",1,0,1
"Basel",64094201,1,"final","male",29,"cahp9hedbl0kvuacstpdc56m35",1,0,0
"Basel",64096601,1,"final","female",26,"rrkf5jvlj7fdffcggtfa1sq7g6",1,0,1
"Basel",64098201,1,"final","female",29,"4mjq9a539jf1btmfevrkmivm71",1,0,1
"Basel",64099201,1,"final","female",22,"i40acvs7ue6c043v7tulukjkr7",1,0,0
"Basel",64100101,1,"final","female",26,"uk8qb51vl6stms3us8tqtelue3",1,0,1
"Basel",64100701,1,"final","female",25,"rciolj6moip2v9t16malo6u6f6",1,0,1
"Basel",64100901,1,"final","female",23,"ejd7hn0bflf3squmt3i493fs83",1,0,1
"Basel",64101101,1,"final","female",21,"ul01054j80halmocjlvq8pu566",1,0,0
"Basel",64102101,1,"final","female",21,"2e5gib9nkqapran6omhsg0o515",1,0,1
"Basel",64102401,1,"final","female",29,"jg4mhbla0b93siirvna8avoml3",1,0,1
"Basel",64102801,1,"final","female",22,"7dp79tknrc5n71kpngoip57m66",1,0,1
"Basel",64103301,1,"final","female",22,"k7ajejqdtthtgh8jtmfmhfon27",1,0,1
"Basel",64103801,1,"final","male",21,"45ratgbdu8s2f64r62tfoq9pj1",1,0,0
"Basel",64104501,1,"final","female",22,"gmulqs34s7ieceidbgsrgab5c1",1,0,1
"Basel",64104601,1,"final","female",30,"1s4hevfas1c858ji16s3vbce65",1,0,1
"Basel",64105101,1,"final","female",21,"c20e39draumte2sgdns7gq5291",1,0,1
"Basel",64109601,1,"final","female",23,"lm54e6f2oi3h2dai6vrt8tu2m3",1,0,1
"Basel",64110701,1,"final","female",27,"dbo8vmd3l3hbvhtdqr018fpn20",1,0,1
"Basel",64111001,1,"final","female",22,"fo3bnqdanrfq9fp0dr9323rvq2",1,0,1
"Basel",64111201,1,"final","male",22,"hkv7od828ds5v95hd1qu2nuqr7",1,0,1
"Basel",64112901,1,"final","female",24,"6rsglj98nufu5b1imjdbre6gd6",1,0,1
"Basel",64113001,1,"final","male",28,"lfthrmldkhjhlpuhtneoqrsee6",1,0,1
"Basel",64114801,1,"final","female",23,"r7a4u1ud0kjtl6411qte0u66o3",1,0,1
"Basel",64115101,1,"final","female",22,"jjomjlf21mof5c9k1ouoobfgm1",1,0,1
"Basel",64115601,1,"final","female",24,"du4r6v8k0l0qn9dr2t51h86d14",1,0,1
"Basel",64116101,1,"final","female",22,"4buq17nqlski1mjj4vf064qhs5",1,0,1
"Basel",64116201,1,"final","female",23,"90ps30o56n6jp853csqmal8v15",1,0,1
"Basel",64116301,1,"final","female",21,"cev39dujolra00mn9d6p4ebli7",1,0,1
"Basel",64116901,1,"final","female",22,"0jo9ufjhsnlnd9ru46m4coh8j2",1,0,1
"Basel",64117601,1,"final","male",23,"8k5220hqku8vsmjurp7ji7jb21",1,0,1
"Basel",64118001,1,"final","female",22,"jbnoek6avsccg6rh28pi018cd7",1,0,1
"Basel",64118401,1,"final","female",24,"lshenij2vah6j69d5cbhbea714",1,0,1
"Basel",64118601,1,"final","male",22,"hocbpj468gm4hkicjn759947s4",1,0,1
"Basel",64120001,1,"final","male",34,"louf4utsgfjrb913uo9hv4v2i7",1,0,0
"Basel",64120201,1,"final","female",21,"031sifa1nenqh44773bt5m5iv4",1,0,1
"Basel",64120701,1,"final","female",24,"j23cjiu5qe08dvjggolkavrus5",1,0,1
"Basel",64121001,1,"final","male",23,"ovn02vfpils7h66iels6bqmhk5",1,0,1
"Basel",64121601,1,"final","male",28,"gj6bvtf8811d79pa1f3la23dd1",1,0,1
"Basel",64122901,1,"final","female",23,"ifklekjqf6la0lk13r6jeunv27",1,0,1
"Basel",64124501,1,"final","female",25,"ili4njhce1g917hukkalsc1fs7",1,0,1
"Basel",64125001,1,"final","female",22,"bc5u05ql5asp6mhdjt01ajpj66",1,0,1
"Basel",64125601,1,"final","female",24,"ah5o0127u313cbv5if6fv7isk7",1,0,1
"Basel",64126601,1,"final","female",31,"0q2o63f9qbdc0042oqeclkn402",1,0,1
"Basel",64126701,1,"final","female",25,"gls21r4u44pks750k9elav2a64",1,0,1
"Basel",64127001,1,"final","female",22,"1qgotu5d9t1kkattaae8ap1r21",1,0,1
"Basel",64127201,1,"final","female",27,"k154ro7osku8g3gj433cd2k9v6",1,0,1
"Basel",64127301,1,"final","male",27,"trv494lobuq10f3qmm94am9t75",1,0,1
"Basel",64129001,1,"final","female",22,"fmqshblu8pkri63il19tb1af71",1,0,1
"Basel",64129201,1,"final","female",22,"b6onuplrqlml5t8it284jebf21",1,0,1
"Basel",64129701,1,"final","female",24,"4m2jqio6h1r7i7qj8rrn5pv5p2",1,0,0
"Basel",64130101,1,"final","female",28,"f3uiigrt35t6b0qh9fme27k4l0",1,0,1
"Basel",64130201,1,"final","female",26,"2gra7va0ipbi34vsk0aj92tq01",1,0,1
"Basel",64130901,1,"final","female",24,"qkqaqcaa06mqt1sg01tutm65m3",1,0,1
"Basel",64131001,1,"final","female",20,"fu9pj9bfgvpiinhb10gp5mk3g2",1,0,1
"Basel",64131501,1,"final","female",30,"5f3fehps483naaqaag8bcb9835",1,0,1
"Basel",64134301,1,"final","male",28,"aaobi80aud4j7rku0octpqpf67",1,0,1
"Basel",64134801,1,"final","female",23,"qn6t55hphsv7r8l20ku5vc9es4",1,0,0
"Basel",64135001,1,"final","female",36,"11j13ppe1amo20mqkbnl3f1ng4",1,0,1
"Basel",64136701,1,"final","female",21,"sb8fapm3adn9vr2a0u26gbalv6",1,0,0
"Basel",64136801,1,"final","female",26,"4fq9atmppa3jacatqsqn0t6vf5",1,0,1
"Basel",64137401,1,"final","female",25,"6qdrst5fvuhc2vv09eh82rijp2",1,0,1
"Basel",64138101,1,"final","female",21,"7uu5r2e16rs77o4pe11a6u96e7",1,0,1
"Basel",64138301,1,"final","female",21,"g8adl8ab8186bn0p98u4v0juo2",1,0,1
"Basel",64139201,1,"final","female",21,"qud30hqmik73c2g0ije8tqfqf4",1,0,1
"Basel",64139301,1,"final","male",23,"1eg1a8olvij1atba2keufhutp5",1,0,1
"Basel",64139401,1,"final","male",28,"rnl2oneqbvr9pb0dhcdvrtirk5",1,0,1
"Basel",64141301,1,"final","female",21,"u2l9qero1mml65tk4frsvtdbg2",1,0,1
"Basel",64141701,1,"final","male",30,"g344qr0k26eguk94bj4vk9b972",1,0,1
"Basel",64142601,1,"final","male",22,"k6i2ouspa1icfsdmne7ios6j67",1,0,1
"Basel",64143401,1,"final","female",22,"tk6a96lb7hmq7fva7a5b1l9s34",1,0,1
"Basel",64144101,1,"final","female",21,"m3o0u77o3hel62kmaucb4d0op3",1,0,0
"Basel",64144501,1,"final","female",23,"njmtbh4sujg7735j79hd6i28g3",1,0,1
"Basel",64144601,1,"final","female",31,"hj1qrnnhgeoeq0pl9aib95cl50",1,0,1
"Basel",64146301,1,"final","female",26,"uv798egbtq9lsmo79sktvb4ig7",1,0,1
"Basel",64146901,1,"final","male",21,"g8o053vsap91421777mvb9acc2",1,0,1
"Basel",64148301,1,"final","female",20,"d4ln4i4175jj70742kaoo8ks95",1,0,1
"Basel",64148601,1,"final","female",23,"49bpq0vcrrfivl8ck1uddulcn4",1,0,1
"Basel",64148801,1,"final","female",21,"3gbb2jl8i5ps7vhafmpcqqruf2",1,0,1
"Basel",64149401,1,"final","female",22,"daie88p05el537t82vatjklu64",1,0,1
"Basel",64149901,1,"final","female",23,"88rpk9sg8sr9o2nn75c0v7q6l1",1,0,1
"Basel",64150101,1,"final","female",24,"ok6aqle3afbgkv8in4lpg7h1k5",1,0,1
"Basel",64150401,1,"final","male",20,"s2ddplg1polan6dpq0ks6q40t0",1,0,1
"Basel",64151401,1,"final","male",26,"k76mp60atfl1oe4smn7n6j45u5",1,0,1
"Basel",64152701,1,"final","female",24,"gfrmlhbaful5m0g01gmddmm1j6",1,0,0
"Basel",64153601,1,"final","male",24,"v5fqrag2gc5ivdn41r223eh826",1,0,1
"Basel",64153801,1,"final","female",23,"5tcb5f3r7guubspnn5m1r395k5",1,0,1
"Basel",64154201,1,"final","male",23,"gl0ea2e13mgk5nebct94kranq0",1,0,1
"Basel",64154401,1,"final","female",23,"5fobqjg04r63fc23pb2mitp0t0",1,0,1
"Basel",64154501,1,"final","female",21,"7400fj7ou5a6p77o0rs2705f20",1,0,1
"Basel",64154901,1,"final","female",26,"o3hom75jofpjls0u9j9ncg5eg4",1,0,1
"Basel",64155101,1,"final","female",24,"u4ff2vmk672l6k66f4knphq7k0",1,0,1
"Basel",64155301,1,"final","female",21,"2tlbfij1osumhhs66ssh7rnhh2",1,0,1
"Basel",64156501,1,"final","female",21,"h9anl17802iffq36a30qphmom0",1,0,1
"Basel",64156901,1,"final","female",20,"csclv6483ia0upnq7bs7eahve6",1,0,1
"Basel",64157801,1,"final","female",29,"tpoca8e9vf98lo7avlcgmjaav0",1,0,1
"Basel",64158001,1,"final","female",28,"qk3v95st8d01q3mckn4169qt83",1,0,0
"Basel",64158201,1,"final","male",25,"4djqm8lt8bci0h8e3ss5f94965",1,0,1
"Basel",64159301,1,"final","female",23,"gr7apft1kok7e84u7c2pi6prr0",1,0,1
"Basel",64160101,1,"final","female",24,"036r205abdlrfh48p8d7fuul86",1,0,1
"Basel",64161401,1,"final","male",20,"lrqu51fl76p0tr1jedu5t9ti31",1,0,1
"Basel",64161601,1,"final","female",22,"vihk2b8pn7eui8c0cm3b266pu6",1,0,1
"Basel",64162001,1,"final","male",21,"c6d56k5ul2a931tm2civ5gfuk6",1,0,1
"Basel",64162701,1,"final","female",23,"9qgu8rt9djc2eg4egacisu0e63",1,0,1
"Basel",64163801,1,"final","female",24,"knmufq1jp96j3eg12vsgatlh92",1,0,1
"Basel",64164801,1,"final","female",22,"3g0v3d8p73o0g5tvgss3gj7rl4",1,0,1
"Basel",64165001,1,"final","male",21,"po0r7jdr1l0g4fms1bcsf4bdu4",1,0,1
"Basel",64165601,1,"final","male",29,"373t709lqajd3nckiq7ad9slt3",1,0,1
"Basel",64165701,1,"final","female",26,"7i9infhtunbe1ingscaiu2odr4",1,0,1
"Basel",64166501,1,"final","male",24,"c5ga545telbgd2t76s9ea6ac12",1,0,1
"Basel",64166701,1,"final","female",26,"ldtj2he1s9nv90c5rqe7meb2v7",1,0,1
"Basel",64167601,1,"final","male",32,"msfal0e726sdm5f72t8n6c5ch4",1,0,1
"Basel",64167801,1,"final","male",25,"81u15hquag672lrhnvqe9ur5k1",1,0,1
"Basel",64167901,1,"final","male",21,"4sb6dk8pof7mstltstve8hqhu7",1,0,0
"Basel",64168101,1,"final","female",26,"nee0n9ag1ru6ikksd2nmkus9s7",1,0,1
"Basel",64169101,1,"final","female",22,"0jd1e3urldm16n55jb5ehss8v1",1,0,1
"Basel",64170001,1,"final","male",27,"64i2c93ilocanfvjucugimioh3",1,0,0
"Basel",64170601,1,"final","male",22,"b4krckdc92ut7m6tm57i34b8b2",1,0,1
"Basel",64171101,1,"final","female",31,"ss3qnqihvk13mqfq2h83v275a3",1,0,1
"Basel",64171601,1,"final","female",35,"uhl9fdfcrb7psfqrgf8h3rca21",1,0,1
"Basel",64171801,1,"final","female",21,"3n8bl9emta3imvq2l6a3cuegt0",1,0,1
"Basel",64172901,1,"final","female",26,"igcn3tk42nr8slkkh70j1dsq57",1,0,1
"Basel",64173401,1,"final","female",25,"0edsd256pgknl96sehm6hii6r2",1,0,1
"Basel",64173601,1,"final","female",23,"6lmhgbm1m6t9fn4kkgkog8qbk1",1,0,1
"Basel",64174501,1,"final","female",21,"dfb5t4nc3c1g38l7btdgos2pp1",1,0,0
"Basel",64174801,1,"final","female",20,"pht6l0bigioolo0svuo27dcso7",1,0,1
"Basel",64174901,1,"final","male",20,"svnt0jsgqcpijhhe8o3krva2k0",1,0,1
"Basel",64175001,1,"final","female",27,"q19pbkqjsqqb1f4tfn1bunkk67",1,0,1
"Basel",64175101,1,"final","male",26,"6blkp3j3gvju9m1kf121ucjtk7",1,0,0
"Basel",64176001,1,"final","female",24,"j1bm9gv95rn3dr7goc66eppev2",1,0,1
"Basel",64176201,1,"final","female",24,"e61ghe8cmhfnc8n9h8aga7oa40",1,0,1
"Basel",64176401,1,"final","male",24,"v4ubnfnqt7ubl4gla6fn6c3fu4",1,0,1
"Basel",64176501,1,"final","male",23,"24v3bjoom2fq62djac8lgblb23",1,0,1
"Basel",64176601,1,"final","male",25,"78rblifhsopvp0qs2cfmpqr9q7",1,0,1
"Basel",64176801,1,"final","female",28,"281m510d9ksnggs1atnimb15c2",1,0,1
"Basel",64177901,1,"final","female",30,"7r3is7o015f9k3pp1t2ap66jd5",1,0,1
"Basel",64178801,1,"final","female",26,"d6ertcm0erpa6qpeprtcrk3ni2",1,0,1
"Basel",64179101,1,"final","female",22,"5ed6tdne3c9mjcnphnu3kubqm4",1,0,0
"Basel",64179301,1,"final","female",22,"c281kmvgen0b6bt455aor5t5i1",1,0,1
"Basel",64179701,1,"final","female",24,"0npttr34gs3q06r0ej81mnueo7",1,0,1
"Basel",64180001,1,"final","female",26,"61s7vi4mfi32rc50120oqgug63",1,0,1
"Basel",64180601,1,"final","female",23,"diboa3677am8l2rtki4uk3a2t4",1,0,1
"Basel",64181101,1,"final","female",24,"0sn3v6vr8qr335i3aod4uepl66",1,0,0
"Basel",64181301,1,"final","female",34,"adv5ava2v54fspkho21v203g47",1,0,1
"Basel",64181801,1,"final","female",36,"tu1g7mmn1mqu7nmd0bb2t3hhe3",1,0,1
"Basel",64181901,1,"final","male",25,"j1oj9j1gani5cf9fau2p1498e7",1,0,0
"Basel",64182001,1,"final","male",25,"gf82lev96d5iksi1mas49rgq33",1,0,0
"Basel",64182201,1,"final","female",21,"dprbv2a9o3o5tjul6op7inrns5",1,0,1
"Basel",64182301,1,"final","male",32,"804s4m663s3c4fmtmueq28iek2",1,0,1
"Basel",64182501,1,"final","female",23,"5o3hl7tlr28n5odk239c9p6qt7",1,0,1
"Basel",64182701,1,"final","female",20,"j722ubuleook3orm5tmsu93i30",1,0,0
"Basel",64182801,1,"final","female",22,"vpg5k6da31ue84sle9vd5qihg5",1,0,1
"Basel",64183001,1,"final","female",21,"ujo1tov628h15cbpns0lk05g37",1,0,0
"Basel",64183101,1,"final","female",20,"9a5ecf0653qiqe6s0d7nshiog1",1,0,1
"Basel",64183201,1,"final","male",22,"a47478q3vjuefms9ajq4rk0t66",1,0,1
"Basel",64183301,1,"final","male",23,"2aevk4742f8j47qd2gqvb5p423",1,0,1
"Basel",64183501,1,"final","female",24,"mg53vcakf3e737vbr90osgb3p5",1,0,0
"Basel",64184101,1,"final","male",23,"kkkaafi2v8odukl46r58dg6mr2",1,0,1
"Basel",64184701,1,"final","female",23,"ub6pa28tlu78k2k4oeu5hsv3n5",1,0,0
"Basel",64184901,1,"final","male",21,"57gscn2omavm9sdi0081hdgv65",1,0,1
"Basel",64185101,1,"final","female",24,"97h2q2nmusg21psmpct9vqr7d2",1,0,1
"Basel",64186001,1,"final","female",30,"qhu3rafu6gv7slt99mr90pdnq7",1,0,1
"Basel",64186401,1,"final","female",22,"eplr7qo8g3nabfe2jholo3o096",1,0,1
"Basel",64186801,1,"final","male",31,"2qurmsv04demspn9ib08kn40f5",1,0,1
"Basel",64187001,1,"final","female",26,"jujnkotjmum495m2imgt2btta4",1,0,0
"Basel",64187101,1,"final","male",24,"1cvmqhns2banltk56139volab6",1,0,1
"Basel",64187301,1,"final","male",28,"86o4ap9gb9ppluahcrbacnujc3",1,0,1
"Basel",64188401,1,"final","female",24,"ecr2e6m5miqv2or8mo6uf21lb7",1,0,0
"Basel",64188901,1,"final","female",27,"14hh648rpdgiksbmd5gr4guk61",1,0,1
"Basel",64189101,1,"final","female",21,"vfk5deshhu6cu8p9do6k91onp3",1,0,1
"Basel",64189201,1,"final","female",23,"mi3eft5djndjpu63uvuca5io92",1,0,1
"Basel",64190101,1,"final","female",22,"5ma6n1cjq82b605to8jjpj7hu5",1,0,1
"Basel",64190201,1,"final","female",21,"v8tq9f3foqs0lg02f8pv7ffe44",1,0,1
"Basel",64190401,1,"final","male",23,"3a2roaojm7074tgn3asjrls707",1,0,1
"Basel",64190501,1,"final","female",26,"qa1k0qbujt5epagck4t4kbab97",1,0,0
"Basel",64191901,1,"final","male",30,"fl67jumtmmmbhve7npi4es6ue7",1,0,1
"Basel",64192101,1,"final","male",26,"q4a3md6pj5hap3em3m22hc2ut4",1,0,1
"Basel",64192801,1,"final","male",31,"9pb7rcbqft5lbqo2q74ifjf3h6",1,0,1
"Basel",64193501,1,"final","female",26,"fl8dm5rkpo3uc2lk8no70m9bk0",1,0,1
"Basel",64193601,1,"final","male",21,"0mt51p8ot12c1d0f16d2clr244",1,0,0
"Basel",64194201,1,"final","male",26,"jgiqae1751gv9m4i1f6gp2snb3",1,0,1
"Basel",64194501,1,"final","male",21,"tuuthggkljf9kef067a1ca7o41",1,0,0
"Basel",64194701,1,"final","male",33,"c9n4ieoci6kj1r8fvbav4dpit1",1,0,1
"Basel",64195101,1,"final","male",23,"icb0q39ip7cvk5bolnf8j6nki4",1,0,1
"Basel",64195201,1,"final","female",22,"in6tcgpm2dj5s8sol80cm45h80",1,0,1
"Basel",64195501,1,"final","female",20,"s6o5pnurm6919vrhdpfla90v44",1,0,0
"Basel",64195601,1,"final","male",32,"9j1o4hdqs3atlq1ijg2puunro0",1,0,0
"Basel",64196601,1,"final","female",26,"en4klfh91nmks6qqarljl50bj1",1,0,1
"Basel",64196701,1,"final","female",20,"78gsd93fuvmk3d45dtbacsf4c2",1,0,1
"Basel",64197801,1,"final","female",21,"ua9v0e3qba5f0hpc7s136i94q1",1,0,1
"Basel",64198101,1,"final","female",21,"oa7k97vv9mrtfh688qtmnp1bc5",1,0,1
"Basel",64198701,1,"final","male",23,"rrrvroa3tsqk5p65e5k8n00974",1,0,1
"Basel",64199201,1,"final","female",23,"kulna27h4dlmjdnml3044n78i1",1,0,1
"Basel",64199301,1,"final","female",20,"3hmain33r1fdpbm3oad5ncqgt4",1,0,1
"Basel",64199601,1,"final","male",23,"mqnjn66smgp0p5mauldkdrnsj5",1,0,1
"Basel",64200501,1,"final","male",20,"gasv7j2d61ovbc7dl069036dg7",1,0,1
"Basel",64200601,1,"final","female",30,"rqna8pfip250g7pt4tvuqt8c37",1,0,1
"Basel",64200901,1,"final","female",32,"f05949or3gabia48upv4lc6rt6",1,0,1
"Basel",64202001,1,"final","female",20,"1clh0568jtq7lm8blc0dvclai4",1,0,1
"Basel",64202201,1,"final","male",23,"gamc4gjml12rnbgmp42gp3tol1",1,0,0
"Basel",64202501,1,"final","female",21,"1ndajr3auh7378k4usb7n1t9o7",1,0,0
"Basel",64202601,1,"final","female",25,"ie65hno4p4t3qvnu3vq1vefss3",1,0,1
"Basel",64202701,1,"final","female",22,"hlppmh8jo796rc4pvbcdpvtag4",1,0,1
"Basel",64202901,1,"final","male",21,"i22u4le6cfq7ql2qjkk5s6nmd3",1,0,0
"Basel",64204201,1,"final","male",25,"udg4eiska0e9tbondbne95ann6",1,0,1
"Basel",64204501,1,"final","male",22,"jit58nmc55fo3cnm8t22lmlfs4",1,0,1
"Basel",64204601,1,"final","female",21,"944lftg0v2m17itrqaai96ls86",1,0,0
"Basel",64204701,1,"final","female",28,"r37rae0k435c7r7649f3ig23k5",1,0,1
"Basel",64205801,1,"final","female",21,"boomkekumle5fqhfkltdull8o2",1,0,0
"Basel",64205901,1,"final","male",25,"r1cjcb2q16gtk7c46d6ik48vn2",1,0,0
"Basel",64206701,1,"final","female",21,"r22h32vb96t10pali8fl3ocq96",1,0,1
"Basel",64207301,1,"final","female",23,"10t121kvrh4lpr0skbar4j4ec4",1,0,1
"Basel",64207801,1,"final","male",22,"fqm01u7q16c9t3bc8v09850bu7",1,0,1
