bibkey,paper,task,subject,age,gender,choice,r,country
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,16,21,1,7,1.4897938576573506,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,16,21,1,3,0.20319243995705621,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,17,22,0,9,2.485612113531679,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,17,22,0,5,0.6436793120834046,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,18,23,0,1,-0.37,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,18,23,0,2,0.11943759003188462,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,19,20,0,10,3.79,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,21,22,0,8,1.5187823794269935,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,21,22,0,10,3.79,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,23,22,1,2,-0.011557012684643264,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,23,22,1,1,0.026450311737135055,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,24,19,0,5,0.5975791312009096,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,24,19,0,3,0.29973185930401086,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,25,21,1,7,1.3416950720967724,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,25,21,1,2,0.10954320658929646,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,27,21,1,9,2.1827657770831137,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,27,21,1,5,0.7649537629168481,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,28,21,1,5,0.6080993330013007,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,28,21,1,3,0.37597680958686397,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,29,18,1,8,1.5411016484862192,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,29,18,1,3,0.2642761815851554,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,30,18,1,9,2.20019456865266,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,30,18,1,6,1.1129586115851997,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,31,25,0,7,1.4722535214899108,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,31,25,0,4,0.5286111233197153,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,32,21,1,3,0.17300816969713198,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,32,21,1,3,0.36155158568872137,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,33,24,0,8,1.6784124529454858,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,33,24,0,3,0.27636600185418503,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,34,21,1,1,-0.37,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,34,21,1,1,0.08706395318731666,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,35,21,1,1,-0.37,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,35,21,1,1,0.03611030446365476,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,36,22,1,4,0.4512829394056461,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,36,22,1,1,-0.0028553703241050235,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,37,19,1,6,1.0389882877934724,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,37,19,1,4,0.5229217594861983,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,38,21,0,7,1.1751920411549508,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,38,21,0,5,0.7511588888964615,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,39,18,0,4,0.4369748188392259,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,39,18,0,3,0.3436977569200098,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,40,20,0,1,-0.37,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,40,20,0,3,0.36135107552632684,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,41,19,0,1,-0.37,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,41,19,0,1,0.01945621524937451,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,42,18,1,7,1.2926959230052306,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,42,18,1,4,0.5599080903828144,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,43,19,0,5,0.8100478699896485,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,43,19,0,4,0.45459743299521505,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,46,20,1,6,0.9244474248494953,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,46,20,1,5,0.682430818292778,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,47,19,1,1,-0.37,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,47,19,1,1,0.030414457377046348,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,48,19,1,4,0.5872129767318256,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,48,19,1,6,1.1615230333711952,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,50,19,0,9,2.496903730612248,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,50,19,0,6,1.003364514806308,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,52,21,1,8,1.7362695572525262,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,52,21,1,4,0.5465007942542434,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,53,20,0,6,1.0927633045706897,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,53,20,0,5,0.7487964904680848,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,HL,54,22,0,5,0.7000704726856202,Greece
DrichoutisNayga2013,Drichoutis et Nayga 2013,PV,54,22,0,4,0.43220756816677747,Greece
